Site,DBH(cm),Total.height(m),Dry.total.AGB(kg),Wood.specific.gravity
Jalisco,35.5,11.1,213.27,0.64
Jalisco,20.7,7.8,70.17,0.64
Jalisco,18.2,7.9,63.30,0.64
Jalisco,9.6,4.9,21.08,0.64
Jalisco,19.1,8.6,84.72,0.64
Jalisco,25.2,8.6,138.38,0.64
Jalisco,19.4,8.0,130.15,0.64
Jalisco,38.3,10.0,231.76,0.64
Jalisco,19.7,9.5,142.40,0.64
Jalisco,13.8,8.9,60.87,0.64
Jalisco,44.9,10.0,147.15,0.64
Jalisco,8.9,7.5,20.51,0.64
Jalisco,15.3,10.0,93.81,0.64
Jalisco,19.1,10.6,135.28,1.20
Jalisco,8.3,5.9,13.24,0.61
Jalisco,12.0,8.6,31.06,0.79
Jalisco,5.4,6.7,5.53,0.79
Jalisco,13.8,9.8,35.75,0.79
Jalisco,17.0,3.5,28.22,0.68
Jalisco,16.0,9.7,61.72,0.76
Jalisco,11.8,10.2,43.98,0.76
Jalisco,8.9,9.2,23.55,0.76
Jalisco,8.8,6.3,24.53,0.79
Jalisco,6.7,7.1,16.20,0.71
Jalisco,14.2,8.6,72.91,0.63
Jalisco,10.2,9.3,49.42,0.80
Jalisco,7.2,8.5,19.72,0.80
Jalisco,8.0,9.4,20.12,0.85
Jalisco,8.8,8.8,20.33,0.85
Jalisco,5.7,6.3,7.53,0.85
Jalisco,19.7,9.0,96.48,0.59
Jalisco,10.0,6.9,12.28,0.59
Jalisco,16.1,8.5,34.11,0.84
Jalisco,5.7,8.3,9.73,0.84
Jalisco,5.1,6.2,9.23,0.84
Jalisco,6.4,5.9,5.76,0.84
Jalisco,16.8,9.8,66.75,0.59
Jalisco,12.7,9.9,52.89,0.59
Jalisco,7.5,6.3,11.22,0.59
Jalisco,5.4,8.9,11.36,0.64
Jalisco,5.4,7.1,9.35,0.64
Jalisco,38.0,14.6,285.35,0.49
Jalisco,5.7,5.5,11.26,0.48
Jalisco,6.7,7.4,4.62,0.34
Jalisco,17.2,9.0,39.27,0.34
Jalisco,6.1,5.6,4.68,0.22
Jalisco,5.6,4.0,2.33,0.22
Jalisco,10.8,7.4,21.48,0.22
Jalisco,8.4,3.5,5.67,0.22
Jalisco,8.0,5.0,6.43,0.22
Jalisco,5.4,4.7,4.08,0.22
Jalisco,5.6,3.6,2.64,0.22
Jalisco,23.5,4.5,63.90,0.22
Jalisco,8.3,4.8,6.29,0.22
Jalisco,8.0,8.1,22.55,0.80
Jalisco,6.7,7.5,14.85,0.80
Jalisco,31.7,10.0,375.22,0.80
Jalisco,7.6,7.4,13.36,0.80
Jalisco,10.5,9.1,32.92,0.80
Jalisco,9.2,9.7,28.02,0.80
Jalisco,6.1,7.6,6.42,0.80
Jalisco,14.1,9.6,94.04,0.81
Jalisco,19.4,13.8,164.41,0.81
Jalisco,12.6,8.7,50.55,0.81
Jalisco,9.6,8.2,30.03,0.65
Jalisco,7.3,7.5,15.26,0.65
Jalisco,7.4,7.1,8.64,0.60
Jalisco,8.9,6.8,16.41,0.60
Jalisco,5.4,5.8,4.79,0.60
Jalisco,13.0,8.0,44.02,0.60
Jalisco,9.0,9.7,22.90,0.60
Jalisco,14.1,4.5,48.97,0.56
Jalisco,8.9,9.3,27.84,0.77
Jalisco,6.4,4.7,2.87,0.27
Jalisco,12.0,6.5,20.57,0.81
Jalisco,6.8,7.1,5.77,0.81
Jalisco,21.4,10.4,100.89,0.81
Jalisco,7.5,6.9,11.39,0.59
Jalisco,12.8,8.6,38.90,0.81
Jalisco,11.7,9.0,46.60,0.81
Jalisco,10.6,8.2,40.31,0.81
Jalisco,10.2,8.9,36.33,0.81
Jalisco,12.4,5.0,39.06,0.81
Jalisco,10.4,8.0,43.79,0.81
Jalisco,7.6,6.0,12.34,0.81
Jalisco,12.7,6.0,40.33,0.81
Jalisco,9.7,4.0,13.95,0.81
Jalisco,8.7,7.7,20.55,0.81
Jalisco,7.4,7.6,15.57,0.81
Jalisco,8.3,6.0,26.90,0.81
Jalisco,7.6,4.5,17.19,0.81
Jalisco,5.7,5.5,5.28,0.69
Jalisco,7.7,4.5,7.19,0.69
Jalisco,9.5,5.5,19.41,0.69
Jalisco,6.2,4.5,7.60,0.69
Jalisco,7.8,8.0,4.25,0.57
Jalisco,9.9,6.7,57.87,0.73
Kaliman1,75.2,50.5,8340.57,0.37
Kaliman1,21.7,21.1,391.22,0.62
Kaliman1,38.0,34.9,878.18,0.43
Kaliman1,77.6,48.1,5302.59,0.54
Kaliman1,21.0,22.5,380.62,0.64
Kaliman1,71.3,46.2,4640.01,0.38
Kaliman1,73.0,45.8,3534.84,0.49
Kaliman1,19.2,20.8,233.12,0.55
Kaliman1,42.0,37.2,1928.37,0.48
Kaliman1,40.0,40.4,1189.05,0.60
Kaliman1,38.0,34.4,1458.60,0.44
Kaliman1,43.6,39.2,2080.28,0.56
Kaliman1,76.5,46.0,6100.94,0.66
Kaliman1,46.2,32.6,2537.03,0.36
Kaliman1,24.8,21.6,337.90,0.72
Kaliman1,25.0,28.1,486.00,0.62
Kaliman1,20.2,22.2,259.33,0.52
Kaliman1,39.0,32.0,839.27,0.69
Kaliman1,20.9,25.1,298.67,0.44
Kaliman1,24.6,20.1,328.74,0.36
Kaliman1,38.8,33.7,1410.29,0.36
Kaliman1,23.4,20.0,325.98,0.51
Kaliman1,40.4,30.9,1094.78,0.50
Kaliman2,5.4,8.6,9.76,0.59
Kaliman2,6.0,8.9,13.85,0.59
Kaliman2,6.4,12.4,20.87,0.59
Kaliman2,5.0,10.0,7.69,0.32
Kaliman2,25.4,24.4,477.72,0.50
Kaliman2,11.4,13.7,22.18,0.34
Kaliman2,25.3,26.1,550.39,0.55
Kaliman2,8.3,12.7,34.44,0.65
Kaliman2,5.6,9.1,10.69,0.64
Kaliman2,16.3,20.0,165.77,0.34
Kaliman2,19.0,18.0,177.66,0.54
Kaliman2,25.0,27.7,485.49,0.55
Kaliman2,7.1,5.0,7.56,0.36
Kaliman2,7.7,7.2,12.18,0.49
Kaliman2,5.1,9.6,7.59,0.60
Kaliman2,13.5,20.0,138.39,0.39
Kaliman2,14.8,25.0,219.88,0.72
Kaliman2,26.3,33.5,518.87,0.58
Kaliman2,64.1,43.5,7403.34,0.66
Kaliman2,22.6,24.7,443.45,0.65
Kaliman2,15.0,16.7,114.86,0.58
Kaliman2,127.0,46.5,24233.20,0.80
Kaliman2,30.1,31.9,841.28,0.50
Kaliman2,5.0,9.7,9.32,0.73
Kaliman2,36.0,27.0,1108.22,0.65
Kaliman2,20.2,24.6,277.29,0.49
Kaliman2,6.8,11.2,23.73,0.69
Kaliman2,6.9,12.7,27.65,0.69
Kaliman2,11.9,16.3,107.04,0.79
Kaliman2,15.3,17.2,74.63,0.39
Kaliman2,46.5,37.2,2234.63,0.57
Kaliman2,48.1,38.3,2353.01,0.57
Kaliman2,53.4,40.7,3760.69,0.62
Kaliman2,64.3,42.5,4749.16,0.59
Kaliman2,20.8,23.4,192.14,0.51
Kaliman2,8.4,9.5,12.78,0.36
Kaliman2,22.9,26.8,239.67,0.36
Kaliman2,5.2,9.6,8.68,0.57
Kaliman2,5.0,9.5,5.09,0.39
Kaliman2,5.1,8.9,9.54,0.71
Kaliman2,6.2,10.3,16.12,0.72
Kaliman2,10.4,13.0,35.19,0.45
Kaliman2,7.1,13.4,20.32,0.71
Kaliman2,5.7,10.5,11.97,0.62
Kaliman2,7.5,12.7,25.86,0.62
Kaliman2,5.9,9.1,11.20,0.61
Kaliman2,12.2,17.6,77.37,0.57
Kaliman2,12.2,14.8,45.61,0.45
Kaliman2,19.0,16.2,161.88,0.54
Kaliman2,5.6,8.1,6.07,0.46
Kaliman2,9.0,10.0,34.07,0.52
Kaliman2,11.6,12.3,67.42,0.53
Kaliman2,22.1,19.3,317.03,0.55
Kaliman2,9.8,15.0,50.80,0.62
Kaliman2,5.3,10.0,5.80,0.31
Kaliman2,5.6,8.8,6.45,0.42
Kaliman2,12.2,18.6,75.32,0.52
Kaliman2,29.5,30.0,980.54,0.47
Kaliman2,5.5,10.3,9.40,0.49
Kaliman2,130.5,70.7,42823.60,0.81
Kaliman2,5.1,9.7,6.02,0.40
Kaliman2,58.6,42.1,2236.89,0.34
Kaliman2,5.8,7.7,9.08,0.64
Kaliman2,5.3,7.4,3.63,0.32
Kaliman2,25.6,28.9,626.82,0.71
Kaliman2,5.4,10.3,13.31,0.67
Kaliman2,10.5,11.6,38.84,0.56
Kaliman2,12.8,12.5,82.35,0.61
Kaliman2,13.7,15.9,117.25,0.63
Kaliman4,26.9,23.9,551.95,0.64
Kaliman4,28.7,22.9,978.62,0.64
Kaliman4,7.5,12.2,29.36,0.57
Kaliman4,7.6,16.2,38.38,0.57
Kaliman4,27.7,23.6,536.64,0.57
Kaliman4,55.5,41.2,3551.82,0.41
Kaliman4,32.7,29.5,1118.71,0.62
Kaliman4,46.9,31.1,1801.30,0.71
Kaliman4,10.5,13.0,50.01,0.58
Kaliman4,41.0,33.8,1755.29,0.58
Kaliman4,63.5,36.1,4611.33,0.48
Kaliman4,18.7,19.4,239.77,0.56
Kaliman4,25.0,25.3,541.88,0.56
Kaliman4,46.2,30.6,2929.11,0.82
Kaliman4,21.8,20.2,254.18,0.70
Kaliman4,42.1,27.9,1743.91,0.71
Kaliman4,10.7,14.0,75.42,0.73
Kaliman4,57.1,38.8,2773.13,0.69
Kaliman4,11.9,17.4,63.48,0.53
Kaliman4,24.4,23.0,424.63,0.53
Kaliman4,25.5,20.0,344.64,0.53
Kaliman4,67.7,43.5,6270.05,0.72
Kaliman4,48.5,28.5,1663.49,0.67
Kaliman4,32.2,27.7,780.83,0.52
Kaliman4,6.0,11.1,19.09,0.68
Kaliman4,22.9,21.2,376.65,0.68
Kaliman4,68.9,35.1,3546.68,0.51
Kaliman4,36.2,30.5,1131.19,0.54
Kaliman4,53.0,31.0,2583.27,0.53
Kaliman4,37.0,36.3,1368.72,0.50
Kaliman4,45.0,37.0,1785.34,0.50
Kaliman4,43.4,28.5,1411.90,0.57
Kaliman4,51.0,27.9,3107.12,0.52
Kaliman4,32.9,30.5,1101.95,0.61
Kaliman4,34.0,24.0,1342.46,0.61
Kaliman4,14.5,18.0,165.01,0.65
Kaliman4,15.2,19.8,282.06,0.65
Kaliman4,36.3,25.0,989.09,0.65
Kaliman4,11.8,17.2,100.67,0.70
Kaliman4,15.0,17.7,154.99,0.70
Kaliman6,26.7,25.9,426.86,0.46
Kaliman6,35.3,33.3,482.50,0.27
Kaliman6,36.0,39.5,600.34,0.31
Kaliman6,36.9,22.4,588.63,0.37
Kaliman6,41.1,33.6,1199.52,0.47
Kaliman6,41.4,31.7,841.37,0.33
Kaliman6,43.3,39.4,1311.07,0.34
Kaliman6,43.9,42.4,1660.94,0.53
Kaliman6,48.4,38.7,1364.08,0.35
Kaliman6,49.7,38.5,2017.15,0.52
Kaliman6,50.9,41.0,2525.83,0.49
Kaliman6,53.2,37.9,1842.42,0.60
Kaliman6,58.9,38.5,3360.43,0.54
Kaliman6,61.1,43.6,3482.77,0.48
Kaliman6,62.1,44.3,5005.98,0.50
Kaliman6,63.0,48.5,5389.28,0.63
Kaliman6,63.0,44.5,6905.36,0.74
Kaliman6,63.7,34.1,3657.71,0.50
Kaliman6,64.6,47.1,5244.70,0.66
Kaliman6,69.1,50.4,6244.81,0.59
Kaliman6,69.1,49.4,6649.93,0.51
Kaliman6,73.8,50.9,7145.79,0.51
Kaliman6,75.1,46.3,5426.59,0.52
Kaliman6,82.8,48.8,4979.74,0.45
Kaliman6,84.4,52.0,8987.92,0.47
Karnataka,8.3,12.1,67.29,0.70
Karnataka,8.7,9.0,77.37,0.77
Karnataka,9.0,6.6,48.93,0.76
Karnataka,9.3,14.4,56.13,0.76
Karnataka,9.6,11.6,95.01,0.70
Karnataka,9.6,14.6,94.65,0.78
Karnataka,10.0,14.0,127.69,0.70
Karnataka,10.1,13.4,90.17,0.78
Karnataka,10.4,13.0,125.94,0.70
Karnataka,11.0,11.6,63.91,0.76
Karnataka,11.0,14.6,119.08,0.78
Karnataka,11.1,9.4,98.31,0.77
Karnataka,11.2,14.2,150.40,0.78
Karnataka,11.5,14.7,132.11,0.78
Karnataka,12.2,13.8,164.05,0.70
Karnataka,12.4,12.0,125.43,0.85
Karnataka,12.4,11.8,111.38,0.78
Karnataka,12.4,16.4,139.12,0.78
Karnataka,12.6,15.0,154.14,0.77
Karnataka,13.1,11.6,139.26,0.77
Karnataka,13.2,18.5,137.32,0.49
Karnataka,13.2,13.6,109.29,0.77
Karnataka,13.3,15.9,152.11,0.77
Karnataka,13.3,18.7,208.13,0.77
Karnataka,13.4,10.2,130.49,0.77
Karnataka,13.4,15.8,215.57,0.77
Karnataka,13.4,11.9,155.63,0.78
Karnataka,13.5,16.2,93.82,0.49
Karnataka,13.5,15.4,160.47,0.76
Karnataka,13.6,17.9,146.21,0.76
Karnataka,13.6,11.9,199.29,0.77
Karnataka,13.8,14.6,212.18,0.70
Karnataka,13.8,13.1,174.66,0.76
Karnataka,13.8,12.0,195.05,0.77
Karnataka,14.0,14.8,223.97,0.70
Karnataka,14.1,16.4,155.56,0.76
Karnataka,14.1,13.6,206.61,0.78
Karnataka,14.3,9.8,174.74,0.76
Karnataka,14.5,18.6,279.97,0.70
Karnataka,14.8,13.1,173.83,0.77
Karnataka,14.9,15.3,167.39,0.76
Karnataka,14.9,8.0,152.65,0.77
Karnataka,14.9,15.3,182.00,0.77
Karnataka,15.0,15.1,311.03,0.70
Karnataka,15.0,8.8,113.94,0.76
Karnataka,15.5,20.7,186.95,0.49
Karnataka,15.7,14.7,259.84,0.77
Karnataka,15.8,16.9,254.86,0.70
Karnataka,16.0,19.6,318.48,0.70
Karnataka,16.2,16.4,280.10,0.77
Karnataka,16.5,14.9,290.58,0.77
Karnataka,16.8,16.9,346.39,0.70
Karnataka,16.8,17.5,319.22,0.76
Karnataka,16.8,12.1,177.65,0.78
Karnataka,16.9,17.0,346.32,0.75
Karnataka,17.2,18.9,240.92,0.76
Karnataka,17.5,14.8,220.86,0.78
Karnataka,17.6,19.5,391.44,0.75
Karnataka,17.9,16.5,306.91,0.98
Karnataka,18.0,16.8,326.84,0.70
Karnataka,18.1,15.0,307.89,0.98
Karnataka,18.3,15.5,272.78,0.53
Karnataka,18.4,19.8,293.66,0.78
Karnataka,18.6,20.0,204.65,0.70
Karnataka,18.6,18.4,339.24,0.78
Karnataka,19.0,13.0,236.31,0.76
Karnataka,19.2,18.7,305.91,0.76
Karnataka,19.4,15.2,334.74,0.78
Karnataka,19.7,19.0,398.91,0.75
Karnataka,19.8,19.0,351.15,0.75
Karnataka,20.0,15.5,333.69,0.85
Karnataka,20.2,22.7,356.97,0.49
Karnataka,20.4,19.9,495.05,0.70
Karnataka,20.4,17.9,499.18,0.76
Karnataka,20.4,17.9,364.23,0.78
Karnataka,20.7,17.0,457.77,0.70
Karnataka,20.7,18.0,408.00,0.86
Karnataka,20.7,19.8,388.91,0.76
Karnataka,20.7,21.9,454.88,0.76
Karnataka,20.9,18.0,416.10,0.86
Karnataka,21.1,19.0,507.51,0.70
Karnataka,21.1,19.6,433.07,0.78
Karnataka,21.4,20.4,603.46,0.70
Karnataka,21.5,21.8,573.42,0.75
Karnataka,21.5,24.6,489.78,0.86
Karnataka,21.6,15.1,380.04,0.77
Karnataka,21.7,23.0,374.04,0.49
Karnataka,21.8,22.0,640.47,0.89
Karnataka,22.1,18.5,462.35,0.53
Karnataka,22.6,20.6,600.67,0.78
Karnataka,22.9,19.2,466.17,0.76
Karnataka,23.4,20.5,653.20,0.86
Karnataka,23.4,21.4,630.97,0.78
Karnataka,23.6,21.0,670.98,0.75
Karnataka,23.6,16.5,755.92,0.89
Karnataka,23.8,24.5,414.76,0.53
Karnataka,23.9,19.8,550.40,0.85
Karnataka,24.0,18.9,529.37,0.76
Karnataka,24.0,20.5,753.15,0.89
Karnataka,24.5,22.0,880.94,0.89
Karnataka,24.6,17.5,806.66,0.85
Karnataka,24.7,27.0,782.61,0.86
Karnataka,24.7,23.5,335.52,0.53
Karnataka,24.7,20.5,683.19,0.98
Karnataka,25.3,17.0,806.47,0.89
Karnataka,25.3,18.0,843.23,0.89
Karnataka,25.3,20.5,1021.63,0.89
Karnataka,25.4,19.0,446.69,0.53
Karnataka,25.5,23.4,1299.78,0.75
Karnataka,25.5,19.4,623.16,0.77
Karnataka,25.7,21.5,768.27,0.98
Karnataka,25.9,21.0,724.19,0.98
Karnataka,26.0,15.5,636.60,0.75
Karnataka,26.0,21.5,1150.24,0.89
Karnataka,26.1,22.0,708.80,0.86
Karnataka,26.1,23.0,911.95,0.86
Karnataka,26.3,19.5,621.95,0.89
Karnataka,26.5,19.4,750.05,0.70
Karnataka,26.9,18.5,574.30,0.75
Karnataka,26.9,23.5,737.10,0.53
Karnataka,27.2,17.5,463.26,0.85
Karnataka,27.2,22.5,1115.91,0.86
Karnataka,27.3,8.9,589.80,0.76
Karnataka,27.4,17.7,818.23,0.77
Karnataka,27.6,26.5,958.09,0.86
Karnataka,27.7,23.0,781.37,0.75
Karnataka,27.7,26.8,895.61,0.75
Karnataka,28.1,19.0,979.13,0.98
Karnataka,28.2,18.5,722.71,0.75
Karnataka,28.3,22.8,949.82,0.78
Karnataka,28.4,20.4,951.82,0.70
Karnataka,28.5,22.0,1673.27,0.89
Karnataka,28.7,18.5,750.23,0.98
Karnataka,28.8,24.5,689.92,0.53
Karnataka,28.9,22.5,721.92,0.86
Karnataka,29.0,23.5,1067.39,0.98
Karnataka,29.2,22.5,787.57,0.49
Karnataka,29.8,20.5,842.30,0.85
Karnataka,30.3,23.5,611.74,0.49
Karnataka,30.5,22.5,1395.72,0.89
Karnataka,30.6,20.9,770.89,0.78
Karnataka,30.7,26.5,763.79,0.53
Karnataka,31.1,28.1,696.19,0.49
Karnataka,31.2,21.5,1142.69,0.89
Karnataka,31.3,15.5,897.48,0.85
Karnataka,31.8,28.7,862.46,0.49
Karnataka,32.2,20.5,870.02,0.85
Karnataka,32.5,23.0,1545.07,0.89
Karnataka,32.8,24.5,622.15,0.53
Karnataka,32.9,19.0,1193.87,0.89
Karnataka,33.1,22.0,1185.33,0.98
Karnataka,33.9,18.0,1027.57,0.85
Karnataka,34.0,23.0,1659.40,0.75
Karnataka,34.2,27.9,795.51,0.49
Karnataka,34.8,24.0,1289.44,0.53
Karnataka,34.9,23.5,1072.21,0.49
Karnataka,35.4,19.0,1410.63,0.89
Karnataka,36.0,25.0,993.72,0.53
Karnataka,36.0,21.5,1783.17,0.89
Karnataka,36.5,25.5,1403.70,0.53
Karnataka,36.9,21.5,1674.89,0.89
Karnataka,37.1,22.0,1784.21,0.98
Karnataka,37.4,24.5,1098.13,0.49
Karnataka,37.6,24.5,1468.20,0.49
Karnataka,38.7,26.0,1927.74,0.75
Karnataka,39.2,22.0,615.48,0.53
Karnataka,39.7,28.0,1214.04,0.53
Karnataka,40.2,22.8,1780.09,0.75
Karnataka,40.2,25.0,1871.54,0.53
Karnataka,40.3,27.5,1515.90,0.53
Karnataka,40.6,24.0,2277.79,0.75
Karnataka,40.7,24.5,1123.32,0.49
Karnataka,40.8,21.6,1878.09,0.75
Karnataka,41.3,28.0,1792.92,0.89
Karnataka,41.4,20.3,2133.09,0.89
Karnataka,41.9,24.0,1404.78,0.49
Karnataka,42.0,26.5,1144.17,0.49
Karnataka,43.3,24.0,2341.20,0.75
Karnataka,44.2,26.5,1551.65,0.53
Karnataka,44.3,23.5,1696.93,0.53
Karnataka,46.2,16.5,1771.33,0.85
Karnataka,47.2,21.5,1578.23,0.53
Karnataka,47.4,23.5,1733.79,0.49
Karnataka,47.8,24.1,3412.33,0.89
Karnataka,48.4,24.5,1902.54,0.53
Karnataka,48.9,22.5,2306.65,0.75
Karnataka,49.8,22.5,1524.84,0.49
Karnataka,54.1,22.0,2121.75,0.49
Karnataka,60.9,27.9,1191.71,0.49
Llanosec,15.5,10.0,69.21,0.67
Llanosec,7.5,7.8,5.66,0.30
Llanosec,10.4,11.5,12.26,0.30
Llanosec,12.9,14.0,20.42,0.30
Llanosec,14.6,13.0,30.97,0.30
Llanosec,14.6,11.5,33.98,0.30
Llanosec,15.7,13.5,26.41,0.30
Llanosec,16.7,14.5,40.15,0.30
Llanosec,20.6,15.5,54.62,0.30
Llanosec,6.7,8.0,4.06,0.23
Llanosec,7.1,9.5,4.23,0.23
Llanosec,9.2,8.0,8.32,0.23
Llanosec,6.5,7.0,8.11,0.41
Llanosec,10.7,14.0,41.43,0.50
Llanosec,12.4,16.0,24.26,0.16
Llanosec,18.7,19.5,60.09,0.16
Llanosec,18.8,15.5,56.24,0.16
Llanosec,19.5,18.5,68.55,0.16
Llanosec,20.3,16.5,89.60,0.16
Llanosec,22.0,15.0,87.29,0.16
Llanosec,22.6,17.5,138.12,0.16
Llanosec,23.3,17.0,110.24,0.16
Llanosec,9.2,10.5,23.65,0.59
Llanosec,15.6,10.0,21.98,0.17
Llanosol,42.2,27.0,1887.94,0.87
Llanosol,43.6,29.0,768.41,0.38
Llanosol,91.0,34.0,6873.40,0.38
Llanosol,92.5,34.0,12624.46,0.38
Llanosol,142.0,42.0,23496.63,0.38
Llanosol,153.0,37.0,31214.49,0.38
Llanosol,156.0,48.0,30564.36,0.38
Llanosol,12.5,8.5,42.34,0.67
Llanosol,15.7,13.0,190.48,0.67
Llanosol,23.7,22.0,266.21,0.67
Llanosol,30.5,19.0,716.23,0.67
Llanosol,48.0,20.0,3351.58,0.67
Llanosol,49.0,40.0,3423.42,0.67
Llanosol,26.6,22.0,491.42,0.50
Llanosol,18.0,14.0,119.64,0.74
Llanosol,36.8,19.0,636.15,0.74
Llanosol,10.5,13.0,44.55,0.54
Llanosol,25.4,20.0,390.09,0.54
Llanosol,38.0,32.0,1163.77,0.54
Llanosol,12.0,7.5,18.77,0.36
Llanosol,15.2,12.0,34.67,0.36
Llanosol,16.5,18.0,89.05,0.36
Llanosol,28.8,20.0,355.67,0.36
Llanosol,35.7,27.0,829.81,0.36
Llanosol,15.8,6.5,37.66,0.52
Llanosol,22.5,15.0,172.13,0.52
Llanosol,11.8,11.0,83.11,0.76
Madagascar1,12.6,11.3,94.50,0.81
Madagascar1,14.5,10.5,124.67,0.85
Madagascar1,15.2,11.4,93.22,0.78
Madagascar1,31.0,13.3,717.72,0.73
Madagascar1,32.1,17.1,930.49,0.83
Madagascar1,34.2,16.3,1157.51,0.79
Madagascar1,41.3,16.8,1780.80,0.83
Madagascar1,42.2,17.8,2138.84,0.79
Madagascar1,44.0,18.1,2025.48,0.76
Madagascar1,15.5,11.0,65.90,0.63
Madagascar1,21.0,13.9,65.73,0.66
Madagascar1,22.0,10.2,63.77,0.57
Madagascar1,26.0,12.7,194.46,0.58
Madagascar1,29.8,12.9,335.94,0.64
Madagascar1,34.7,17.5,447.99,0.61
Madagascar1,13.3,12.9,87.59,0.57
Madagascar1,14.9,12.2,75.65,0.60
Madagascar1,19.2,13.6,99.34,0.59
Madagascar1,20.5,12.0,216.19,0.62
Madagascar1,29.0,19.2,371.60,0.53
Madagascar1,33.6,22.3,680.98,0.55
Madagascar1,34.3,18.9,372.42,0.54
Madagascar1,47.0,28.0,1487.67,0.55
Madagascar1,50.6,28.1,1777.74,0.57
Madagascar1,52.0,26.8,2009.74,0.60
Madagascar1,16.2,15.5,166.65,0.76
Madagascar1,37.7,26.0,1065.63,0.77
Madagascar1,17.3,14.1,92.90,0.72
Madagascar1,31.0,15.4,444.55,0.66
Madagascar1,31.3,20.5,472.80,0.63
Madagascar1,31.6,19.9,610.45,0.67
Madagascar1,46.0,30.4,1323.57,0.61
Madagascar1,16.0,10.2,75.94,0.53
Madagascar1,17.3,16.3,103.02,0.35
Madagascar1,44.1,14.2,754.91,0.39
Madagascar1,46.5,29.9,827.25,0.38
Madagascar1,11.0,11.6,52.43,0.56
Madagascar1,11.9,14.2,55.94,0.51
Madagascar1,16.7,14.8,129.81,0.53
Madagascar1,31.4,16.8,417.31,0.49
Madagascar1,32.9,16.7,550.50,0.60
Madagascar1,34.0,17.0,653.90,0.58
Madagascar1,44.2,27.4,1254.37,0.52
Madagascar1,44.5,21.6,1017.34,0.52
Madagascar1,48.7,26.4,1083.56,0.50
Madagascar1,46.4,25.1,1290.11,0.53
Madagascar1,45.5,18.6,1628.27,0.78
Madagascar1,15.0,11.3,51.11,0.54
Madagascar1,31.3,28.2,545.89,0.55
Madagascar1,15.7,13.6,92.30,0.54
Madagascar1,30.4,25.8,871.46,0.58
Madagascar1,45.3,27.4,1696.65,0.65
Madagascar1,14.4,14.5,122.25,0.76
Madagascar1,14.4,14.6,159.64,0.77
Madagascar1,15.4,18.0,174.44,0.80
Madagascar1,34.0,26.7,1244.57,0.77
Madagascar1,34.0,18.6,1342.08,0.67
Madagascar1,35.4,20.8,857.64,0.76
Madagascar1,44.0,30.2,2264.37,0.80
Madagascar1,45.6,31.7,2321.47,0.81
Madagascar1,54.0,32.4,3711.08,0.77
Madagascar1,10.2,9.6,43.51,0.80
Madagascar1,10.9,14.0,59.71,0.83
Madagascar1,14.5,16.9,141.15,0.80
Madagascar1,27.5,25.6,519.60,0.79
Madagascar1,32.1,20.9,636.66,0.71
Madagascar1,12.4,11.2,46.52,0.52
Madagascar1,16.6,14.1,58.93,0.46
Madagascar1,19.7,12.6,135.21,0.54
Madagascar1,23.2,10.5,112.95,0.53
Madagascar1,30.1,20.0,368.30,0.59
Madagascar1,26.0,20.1,622.66,0.75
Madagascar1,15.1,12.5,95.12,0.56
Madagascar1,15.8,17.8,103.93,0.58
Madagascar1,27.0,13.2,307.42,0.68
Madagascar1,28.3,15.1,568.34,0.65
Madagascar2,8.6,11.0,19.60,0.66
Madagascar2,8.6,10.2,18.61,0.61
Madagascar2,9.6,11.0,28.62,0.66
Madagascar2,16.9,13.0,114.36,0.68
Madagascar2,19.1,12.0,207.14,0.67
Madagascar2,19.1,10.5,186.25,0.67
Madagascar2,28.7,12.0,456.11,0.68
Madagascar2,28.7,11.0,582.09,0.68
Madagascar2,29.9,11.0,546.06,0.68
Madagascar2,6.4,7.8,15.70,0.80
Madagascar2,7.0,7.2,22.44,0.79
Madagascar2,9.6,12.0,62.06,0.76
Madagascar2,14.6,12.5,109.97,0.73
Madagascar2,16.6,16.6,197.39,0.80
Madagascar2,28.7,14.0,511.72,0.76
Madagascar2,8.6,7.7,22.16,0.42
Madagascar2,8.9,7.2,43.50,0.43
Madagascar2,9.2,6.3,19.52,0.51
Madagascar2,15.9,9.3,85.14,0.43
Madagascar2,17.8,9.2,73.96,0.36
Madagascar2,19.1,11.7,79.15,0.45
Madagascar2,28.0,13.0,217.22,0.54
Madagascar2,30.6,15.5,327.62,0.55
Madagascar2,35.0,15.0,796.02,0.55
Madagascar2,8.6,7.2,37.55,0.50
Madagascar2,9.6,10.3,27.52,0.47
Madagascar2,9.6,10.0,26.15,0.39
Madagascar2,15.9,13.2,126.48,0.58
Madagascar2,16.2,11.3,76.25,0.59
Madagascar2,18.2,8.0,79.14,0.48
Madagascar2,24.8,14.0,219.47,0.62
Madagascar2,29.0,16.4,505.38,0.54
Madagascar2,31.8,15.7,828.51,0.54
Madagascar2,8.0,6.6,24.67,0.70
Madagascar2,9.2,6.0,29.60,0.73
Madagascar2,9.6,7.0,38.59,0.74
Madagascar2,15.0,9.2,89.09,0.72
Madagascar2,17.2,10.0,99.86,0.57
Madagascar2,19.1,8.8,102.45,0.73
Madagascar2,7.6,7.5,15.64,0.47
Madagascar2,7.6,8.0,29.52,0.72
Madagascar2,9.6,12.6,39.95,0.73
Madagascar2,17.5,11.0,223.50,0.81
Madagascar2,19.1,16.0,224.44,0.64
Madagascar2,19.1,12.0,210.98,0.70
