Site,DBH(cm),Total.height(m),Dry.total.AGB(kg),Wood.specific.gravity
BraPara1,10.0,7.0,30.05,0.58
BraPara1,11.0,10.0,34.09,0.58
BraPara1,12.0,13.0,49.12,0.58
BraPara1,12.0,12.0,46.81,0.58
BraPara1,16.0,19.0,184.07,0.61
BraPara1,23.0,22.0,511.64,0.61
BraPara1,58.0,31.0,3705.84,0.48
BraPara1,41.0,32.0,2108.09,0.64
BraPara1,15.0,19.0,138.67,0.47
BraPara1,10.0,12.0,23.68,0.71
BraPara3,16.9,23.1,82.50,0.31
BraPara3,28.1,26.0,668.90,0.65
BraPara3,21.1,16.5,264.40,0.85
BraPara3,45.3,27.7,2375.70,0.85
BraPara3,30.2,25.3,1222.70,0.83
BraPara3,31.0,26.8,1299.60,0.79
BraPara3,13.1,22.2,84.50,0.59
BraPara3,33.5,23.1,851.40,0.58
BraPara3,14.0,21.0,114.00,0.58
BraPara3,9.4,13.4,27.80,0.59
BraPara3,40.3,33.5,1661.60,0.65
BraPara3,55.0,34.9,2117.70,0.46
BraPara3,8.9,17.3,22.20,0.38
BraPara3,13.3,18.3,89.30,0.38
BraPara3,17.0,18.9,112.70,0.38
BraPara3,20.4,18.7,208.60,0.38
BraPara3,24.2,21.3,621.80,0.66
BraPara3,38.7,29.2,2094.90,0.66
BraPara3,46.4,30.1,1737.70,0.60
BraPara3,12.8,23.0,62.20,0.46
BraPara3,23.7,23.0,262.20,0.48
BraRond,17.8,18.9,214.65,0.52
BraRond,19.2,23.8,258.58,0.64
BraRond,19.7,19.3,423.93,0.80
BraRond,20.8,20.1,366.43,0.76
BraRond,22.4,23.8,595.09,0.78
BraRond,32.1,33.0,893.75,0.65
BraRond,38.5,25.0,1334.00,0.58
BraRond,89.0,40.0,8927.94,0.65
Cambodia,133.2,44.2,20578.48,0.56
Cambodia,5.2,7.7,5.84,0.56
Cambodia,5.7,9.3,9.31,0.56
Cambodia,6.4,10.9,12.13,0.56
Cambodia,7.2,12.7,16.53,0.56
Cambodia,7.6,12.7,19.07,0.56
Cambodia,8.2,8.4,15.97,0.56
Cambodia,9.2,11.3,28.88,0.56
Cambodia,9.9,11.9,40.62,0.56
Cambodia,11.8,15.4,68.09,0.56
Cambodia,41.3,24.7,1214.57,0.55
Cambodia,5.3,8.3,7.80,0.47
Cambodia,8.7,7.2,19.32,0.68
Cambodia,5.0,8.2,8.58,0.74
Cambodia,5.5,8.9,8.98,0.74
Cambodia,6.6,9.3,17.17,0.74
Cambodia,6.7,8.8,14.54,0.74
Cambodia,11.8,11.5,57.43,0.74
Cambodia,6.8,10.3,15.31,0.68
Cambodia,7.5,10.3,20.77,0.68
Cambodia,37.0,24.0,660.66,0.46
Cambodia,16.6,17.2,115.57,0.48
Cambodia,5.5,8.3,5.22,0.54
Cambodia,5.7,6.9,6.58,0.54
Cambodia,5.8,7.3,7.50,0.54
Cambodia,5.9,10.3,7.83,0.54
Cambodia,5.9,10.2,9.23,0.54
Cambodia,6.0,11.5,10.69,0.54
Cambodia,6.3,8.0,10.61,0.54
Cambodia,6.5,6.1,8.72,0.54
Cambodia,9.4,11.3,26.63,0.54
Cambodia,25.5,25.5,373.70,0.55
Cambodia,5.2,6.3,5.28,0.77
Cambodia,7.6,8.3,19.25,0.77
Cameroon,6.3,8.3,8.19,0.79
Cameroon,26.7,18.8,120.92,0.51
Cameroon,5.0,7.3,3.67,0.71
Cameroon,79.4,35.0,10045.00,0.81
Cameroon,9.1,10.2,15.98,0.41
Cameroon3,92.5,47.4,13078.38,0.67
Cameroon3,100.0,49.3,21735.71,0.67
Cameroon3,113.5,43.3,27678.53,0.67
Cameroon3,108.0,49.1,17205.90,0.62
Cameroon3,106.0,49.7,9286.84,0.33
Cameroon3,136.0,48.5,51677.27,0.78
Cameroon3,122.0,45.9,36786.20,0.78
Cameroon3,106.5,49.3,22657.58,0.78
Cameroon3,114.0,48.6,24727.92,0.78
Cameroon3,103.0,49.6,22208.92,0.78
Cameroon3,110.0,42.5,13524.06,0.57
Cameroon3,129.0,48.3,19776.42,0.57
Cameroon3,121.7,48.7,22957.68,0.57
Cameroon3,103.5,52.6,22352.72,0.57
Cameroon3,119.8,52.7,24377.97,0.57
